direction,t1_bias,t1_strength,t1_pd_zone,t2_in_4h_ob,t2_in_1h_ob,t2_in_fvg,t2_in_brk,t2_in_rej,t2_in_mit,t2_in_vi,zone_quality,t2_confluence,t2m30_in_ob,t2m30_in_fvg,t2m30_in_brk,t2m30_in_rej,t2m30_choch,t2m30_zone_qual,t4_in_5m_ob,ob_height_atr,entry_depth_ob,session,t3_in_ote,t3_choch,swept,conf_score,sl_atr_ratio,rr_potential,atr_pct_of_price,tp2_distance_r,rvol,vol_pct,mom_12b,mom_48b,mom_96b,body_ratio,atr_rank,bb_score,tsm_score,day_of_week,label,sym,ts,entry,sl,tp1,ml_proba
1,0,0.0,0,0,0,1,0,0,0,0,0.75,0.75,0,0,0,0,0,,0,1.2940606955725902,1.0,1,0,1,1,0.7785030460860689,2.000000000000005,3.9999999999999867,0.004375800207635165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,SILVER,2025-01-07 14:00:00+00:00,30.905000686645508,30.63453246980233,31.986873554018214,0.1115201345330535
0,0,0.0,0,0,1,1,0,0,1,0,0.75,0.9000000000000001,0,0,0,0,0,,1,0.5213568059655779,1.0,1,0,1,1,0.7681733655086684,1.5000000000000024,4.0,0.017168792790380978,38.830142270700215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,NATGAS,2025-01-07 14:00:00+00:00,3.575000047683716,3.6670677002501417,3.206729437418012,0.07202123606497648
0,0,0.0,0,0,1,1,0,0,1,0,0.75,0.9000000000000001,0,0,0,0,0,,1,0.5385146847235052,1.0,-1,0,1,1,0.7799030122668315,1.4999999999999991,4.0,0.01666372043559815,40.00707220474543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,NATGAS,2025-01-07 15:00:00+00:00,3.565999984741211,3.655134224969823,3.2094630238267623,0.06903050490444035
1,0,0.0,0,0,0,1,0,0,0,0,0.75,0.75,0,0,0,0,0,,0,1.1733549695970062,1.0,-1,0,0,1,0.7043941276229406,1.999999999999994,4.0000000000000115,0.004859757242590043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,SILVER,2025-01-07 15:00:00+00:00,30.690000534057617,30.39170862931666,31.883168153021447,0.16924507065703323
1,0,0.0,0,0,0,1,0,0,0,0,0.75,0.75,0,0,0,0,0,,0,1.2303314732468342,1.0,2,0,0,1,0.6153449493663683,2.000000000000002,4.0,0.004637724837539155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SILVER,2025-01-07 18:00:00+00:00,30.670000076293945,30.385522034051633,31.807912245263196,0.3766425079489552
1,0,0.0,0,0,0,1,0,0,0,0,0.75,0.75,0,0,0,0,0,,0,1.2410754234497892,1.0,2,0,0,1,0.6153449493663683,2.0000000000000058,3.9999999999999876,0.004592335542094527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SILVER,2025-01-07 19:00:00+00:00,30.704999923706055,30.422984598766764,31.833061223463215,0.35136153165858436
1,0,0.0,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,,0,0.0481761088020433,1.0,1,0,1,1,0.8040162616448044,1.999999999999998,4.0,0.006355276265188108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PLATINUM,2025-01-08 14:00:00+00:00,979.7999877929688,967.3461885788643,1029.6151846493867,0.2955638056701807
1,0,0.0,0,0,0,1,0,0,0,0,0.75,0.75,0,0,0,0,0,,0,1.1166215854867758,1.0,2,1,1,1,0.799934890534424,2.0000000000000053,3.9999999999999885,0.005117510853292026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,SILVER,2025-01-08 18:00:00+00:00,30.625,30.311552460235863,31.878790159056546,0.16350959574137924
1,0,0.0,0,0,1,0,0,0,1,0,0.9000000000000001,0.75,0,0,0,0,0,,0,0.04923783080006958,1.0,2,0,1,1,0.7471496750803226,0.33055207009352416,4.0,0.006211263103141745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PLATINUM,2025-01-08 18:00:00+00:00,980.9000244140625,978.8860935735416,988.9557477761459,0.2813724542846023
1,0,0.0,0,0,1,1,0,0,1,0,0.75,0.75,0,0,0,0,0,,0,1.0853224904175647,1.0,2,0,1,1,0.7626735249612834,0.367062132283698,4.0,0.005251374432806321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SILVER,2025-01-08 19:00:00+00:00,30.704999923706055,30.645813558560146,30.94174538428969,0.3699405379894229
